"Время","Amigo, Визиты","Amigo, Доля","UC Browser, Визиты","UC Browser, Доля","Internet Explorer, Визиты","Internet Explorer, Доля","Android Browser, Визиты","Android Browser, Доля","Firefox, Визиты","Firefox, Доля","Opera, Визиты","Opera, Доля","Safari, Визиты","Safari, Доля","Яндекс.Браузер, Визиты","Яндекс.Браузер, Доля","Google Chrome, Визиты","Google Chrome, Доля","Edge, Визиты","Edge, Доля","Samsung Internet, Визиты","Samsung Internet, Доля","MIUI browser, Визиты","MIUI browser, Доля","Остальные, Визиты","Остальные, Доля"
"2015-05-25 - 2015-05-31","40632528","0.014721471908937444","14208149","0.005147719737779979","251430248","0.09109507862737891","103341644","0.037441458458341896","284500296","0.10307660689111905","360816343","0.13072648735417194","226266740","0.0819781495465124","343528182","0.1244628559965885","1086094825","0.3935003615005158","70480","2.5535436538477525E-5","0","0.0","0","0.0","49196530","0.017824274542115576"
"2015-06-01 - 2015-06-07","39091204","0.014367019513938897","13967766","0.005133512047572959","247508948","0.09096588290784002","100832829","0.03705864935469022","279272506","0.10263980468364745","356300692","0.13094963753978855","222453775","0.0817574645788442","338225896","0.12430668668970819","1073609796","0.3945791203946534","194596","7.151901817438146E-5","0","0.0","0","0.0","49440642","0.018170703271141685"
"2015-06-08 - 2015-06-14","37594633","0.014661319492091056","13930742","0.0054327717263230515","226863228","0.08847311441276999","97619026","0.03806989494199195","253954174","0.09903816008428873","337114714","0.13146947138542095","212883589","0.08302127362041282","326001754","0.12713559061411966","1010775709","0.39418673416745037","200886","7.834240136054003E-5","0","0.0","0","0.0","47266835","0.018433327153770905"
"2015-06-15 - 2015-06-21","37748744","0.013947015533484623","14288971","0.005279341227737572","251731087","0.09300699860768795","100143765","0.03700008259974514","275421737","0.10175997495965207","349395346","0.12909097897374372","225398629","0.0832779543576109","339092604","0.12528442841112145","1064289436","0.3932226538720226","217385","8.03171615920931E-5","0","0.0","0","0.0","48854497","0.01805025429560194"
"2015-06-22 - 2015-06-28","35907541","0.013801939221464315","13887406","0.005337963230503555","241502599","0.09282741453177394","95613754","0.036751478510991344","265531796","0.10206362250643287","335478094","0.12894918823655155","216855505","0.08335370277374189","325336257","0.12505092581117416","1024487062","0.39378659103670016","249088","9.574304842529046E-5","0","0.0","0","0.0","46781033","0.017981431092240943"
"2015-06-29 - 2015-07-05","35286821","0.013755755701176854","14203881","0.005537056371402445","232454446","0.09061702018519625","94813653","0.03696092226058431","260972054","0.1017339538650516","332469419","0.12960555743676105","213763697","0.08333086150527393","323618028","0.1261550462044912","1010722613","0.39400696781620304","313416","1.2217802019740017E-4","0","0.0","0","0.0","46622426","0.018174680633661955"
"2015-07-06 - 2015-07-12","35632410","0.013711394214264108","14776952","0.005686188898176083","234393230","0.09019479675061765","96943438","0.037303951512234826","261645088","0.10068134447806992","335741329","0.1291936671120461","216346660","0.08325045491448274","333414302","0.12829822432430774","1022204282","0.3933454368652246","437791","1.6846250322268122E-4","0","0.0","0","0.0","47208996","0.018166078427353564"
"2015-07-13 - 2015-07-19","33206493","0.013012353187711656","14864552","0.005824848790900794","231584879","0.09074924709698999","95115490","0.037272118723957276","256542580","0.10052921453183185","323724505","0.12685523866001533","212797149","0.08338705505956628","325631695","0.12760259339802008","1011867307","0.3965120549701729","582274","2.2817088633905476E-4","0","0.0","0","0.0","46003741","0.01802710469449488"
"2015-07-20 - 2015-07-26","33402003","0.013114680318386201","15045593","0.005907374548632582","230271446","0.09041183550407234","94514010","0.03710918254688967","253189737","0.0994102796964385","328280611","0.1288933261873396","212030239","0.08324976206714375","323888252","0.12716874745089118","1011255878","0.397050966077063","687419","2.6990238967958665E-4","0","0.0","0","0.0","44351869","0.017413943213463665"
"2015-07-27 - 2015-08-02","33836934","0.013105619256478367","15508866","0.006006847218951417","232886088","0.09020073743852547","94911606","0.03676087707169","256243837","0.09924759035618014","331274063","0.12830807126983276","215980863","0.08365305666180084","329473493","0.12761067992626018","1026025469","0.39739709112426225","1827586","7.078550992377228E-4","0","0.0","0","0.0","43895763","0.017001574576780823"
"2015-08-03 - 2015-08-09","33824510","0.013223014001274609","15902244","0.0062166634509615995","226177906","0.08841971747164919","92191786","0.036040530286484934","253100925","0.09894473194173559","327442236","0.12800697692994414","213297255","0.08338428522093715","327557251","0.12805193973813728","1019975898","0.3987391267520695","5661046","0.002213072429426461","0","0.0","0","0.0","42871982","0.01675994177737957"
"2015-08-10 - 2015-08-16","33933033","0.013181260684067974","16732317","0.006499655725601133","218745197","0.0849714042668925","91503623","0.03554451228393518","254994811","0.0990525390664502","329248727","0.1278964158754842","215272722","0.08362252401224773","331219603","0.12866200114845328","1031521566","0.4006937624079765","8322936","0.0032330381157739114","0","0.0","0","0.0","42844431","0.016642886413117362"
"2015-08-17 - 2015-08-23","34205266","0.013102581896604041","17121918","0.00655867821118359","219800730","0.08419630666688435","91692850","0.035123629106057236","258215854","0.09891150602473175","331990772","0.12717153782832152","217973775","0.08349647794726818","337254539","0.12918786298135912","1049594043","0.40205481537828835","9241599","0.0035400633268887318","0","0.0","0","0.0","43483140","0.016656540632413123"
"2015-08-24 - 2015-08-30","34069556","0.012619888587089805","17261692","0.006393996736108313","225535708","0.08354190196580252","92640666","0.03431553036833819","267604050","0.09912466415629277","341552406","0.12651627483412062","230662041","0.08544077471073414","349762188","0.12955730460757278","1085666452","0.40214758498705067","10003707","0.003705527239565153","0","0.0","0","0.0","44913228","0.016636551807325057"
"2015-08-31 - 2015-09-06","33829303","0.012417473921725954","17040714","0.006255009797352029","232814764","0.08545760640007223","93057991","0.03415811364634703","270141213","0.09915875203254754","342967824","0.125890681534618","235944173","0.08660629558967553","351733998","0.12910841667501718","1091223087","0.40054724821282284","10497760","0.003853335702380207","0","0.0","0","0.0","45079678","0.016547066487441472"
"2015-09-07 - 2015-09-13","34754306","0.012332819281603614","17313218","0.0061437218391587715","243030719","0.08624122539823381","96823695","0.034358595237439275","276189659","0.09800791740438514","352307850","0.12501901334298873","244579417","0.08679079219308738","367694134","0.13047894858057998","1127665597","0.400160372009231","11009332","0.003906741857172336","0","0.0","0","0.0","46666231","0.016559852856119994"
"2015-09-14 - 2015-09-20","35564456","0.012514248229669593","17772534","0.006253713037147052","241722867","0.0850562696762579","96523924","0.03396437007324848","276962412","0.09745618979961397","354343061","0.12468451714304177","245730053","0.08646629884432551","374502729","0.13177820331048173","1140478846","0.4013061630840388","11546746","0.00406301296128203","0","0.0","0","0.0","46769469","0.01645701384089319"
"2015-09-21 - 2015-09-27","35902037","0.012419675239892793","18140022","0.00627522004070439","245697579","0.08499473549113393","96975284","0.03354688575404152","281191312","0.09727316517776885","359625555","0.12440610545485771","247514559","0.08562328761249073","384478053","0.1330033879449873","1161826273","0.40191326736794974","12025378","0.004159967006801077","0","0.0","0","0.0","47362740","0.016384302909371967"
"2015-09-28 - 2015-10-04","36383831","0.012200208073328897","18664904","0.006258706304696414","252557485","0.08468744996854899","98527806","0.033038294791128055","291625054","0.09778756773017597","369942732","0.12404901247523244","255244415","0.08558842999669583","397395970","0.13325461855576365","1200513890","0.4025557191303324","12886384","0.004321055858928553","0","0.0","0","0.0","48487896","0.016258937115168876"
"2015-10-05 - 2015-10-11","36578056","0.012155940482055561","18910994","0.006284667438874002","252805238","0.08401445464132623","98764171","0.03282217579948912","293150583","0.09742237365561168","371601907","0.12349400592831794","255868053","0.08503231619327822","404548763","0.13444319416858022","1214396172","0.4035787902032877","13564720","0.0045079467584539954","0","0.0","0","0.0","48879712","0.016244134730725356"
"2015-10-12 - 2015-10-18","37818439","0.012286899234007212","19012282","0.006176933774091763","256910052","0.08346795913833337","100221623","0.032561179557666554","297857604","0.09677148140437059","379741546","0.12337489949461199","261965352","0.08511038445624976","416459279","0.13530418841825534","1243904364","0.4041342789745983","14240834","0.004626729632236377","0","0.0","0","0.0","49816794","0.016185065915578774"
"2015-10-19 - 2015-10-25","38626737","0.012248376126081867","20304366","0.006438429209529874","254424713","0.08067700827523773","102173446","0.03239877074540143","303860952","0.09635303210119218","388853736","0.1233038870604095","269096236","0.08532928661928892","435811437","0.13819397689285098","1274685397","0.4041973875473868","15019414","0.004762593119510451","0","0.0","0","0.0","50764634","0.016097252303110248"
"2015-10-26 - 2015-11-01","38095687","0.012104342634392435","19762942","0.006279383317896982","249655547","0.07932436764993014","99630437","0.031656101811794325","304203160","0.09665606710557297","386243462","0.1227231629749041","269792709","0.08572265385309712","441428010","0.14025723913203114","1272721075","0.40438834899636467","15202489","0.004830366643646091","0","0.0","0","0.0","50538824","0.016057965880370017"
"2015-11-02 - 2015-11-08","38115130","0.012217434815518064","18845617","0.006040779534418986","237918875","0.07626258513860219","98786226","0.03166496550913078","292248410","0.09367739003156483","382252821","0.12252743001572855","272672322","0.0874024651111239","450681686","0.1444616382327118","1261965502","0.4045107877138956","15708893","0.005035333114473125","0","0.0","0","0.0","50537144","0.01619919078283217"
"2015-11-09 - 2015-11-15","38622497","0.011933019474654383","18290816","0.005651231289766686","255123781","0.07882444905414737","100387740","0.03101634926495148","311064385","0.09610816628651402","389600530","0.12037312636274317","278966839","0.08619113162387645","463723677","0.1432746222622359","1312879389","0.4056344497045167","16059868","0.004961945303649806","0","0.0","0","0.0","51887699","0.01603150937294408"
"2015-11-16 - 2015-11-22","39069291","0.012030585339090833","19323982","0.0059504231735880535","256635527","0.07902563700518778","100184692","0.030849817233093144","310557885","0.09562991911524725","389040781","0.11979711421451307","277661205","0.08550006249428213","470577885","0.14490478990727967","1316471367","0.40538030565138916","16598131","0.00511105337091756","0","0.0","0","0.0","51376354","0.015820292495411312"
"2015-11-23 - 2015-11-29","39575099","0.011865589488230919","18650906","0.00559200102517957","262544864","0.07871741719376157","101846217","0.030536004517671203","320067395","0.09596408887410374","394984313","0.11842602623303383","289024526","0.08665667210451006","482275260","0.14459800228143038","1356225651","0.4066298565210092","17918352","0.005372363291816945","0","0.0","0","0.0","52170425","0.015641978469252586"
"2015-11-30 - 2015-12-06","40288000","0.012100355655997345","20469499","0.006147940279986149","260644017","0.0782834914939391","100404519","0.030156135558214427","318207173","0.09557237801800725","394358779","0.11844423853169322","284881902","0.08556325293280832","489303099","0.14696042299150314","1349796100","0.405406395777357","19228387","0.005775176762091834","0","0.0","0","0.0","51907438","0.015590211998402291"
"2015-12-07 - 2015-12-13","40204504","0.012181953771496955","21913948","0.006639920280747355","253817683","0.07690668887979488","99751290","0.030224613725546433","315208176","0.09550799155313236","389663902","0.11806805627014129","280617355","0.08502698220303252","488598498","0.14804521193592757","1339167046","0.40576725052208423","19990136","0.006057005768257633","0","0.0","0","0.0","51400459","0.015574325089838808"
"2015-12-14 - 2015-12-20","40441537","0.01238627577936215","20567495","0.0062993319260010346","250368353","0.07668183992815834","96568968","0.02957676582312879","311848938","0.09551187304204607","382995909","0.11730248905330898","274741753","0.08414682955208647","490475710","0.15022098213375157","1325531109","0.40597848371088735","20873113","0.006392935411722586","0","0.0","0","0.0","50615096","0.015502193639546637"
"2015-12-21 - 2015-12-27","37420820","0.012077798435001048","19581759","0.006320132434424679","236488437","0.0763280888632169","90748445","0.029289615433327722","295338214","0.09532221418037351","361757049","0.11675929924204756","259962006","0.08390432676853508","466261604","0.1504887832787277","1261824751","0.40726165281448634","20475930","0.006608731591375897","0","0.0","0","0.0","48455649","0.015639356958483543"
"2015-12-28 - 2016-01-03","32613468","0.012831170954882292","17201876","0.006767762683216847","188134626","0.07401811879493597","78252101","0.030786854237939844","225703089","0.08879874167334835","300898516","0.11838300357589646","219801205","0.08647675363577183","393917421","0.15497958607031118","1025384763","0.40341883263026374","17984199","0.007075553322192634","0","0.0","0","0.0","41846206","0.016463622421240852"
"2016-01-04 - 2016-01-10","34806084","0.012936808326701464","19720421","0.007329733117889918","164904257","0.061292007600341314","89071932","0.03310646815576801","213722430","0.07943686259065716","323224303","0.12013677995038673","249936279","0.09289691237060682","437617020","0.162654537874536","1090443019","0.40529846241802675","20515048","0.007625081976733728","0","0.0","0","0.0","46508380","0.017286345618352118"
"2016-01-11 - 2016-01-17","37403429","0.011561281359761666","21994186","0.0067983331855732","249180118","0.07702078473758682","91970795","0.028427881247892042","302538071","0.09351355890045672","372024624","0.11499163220632908","274945799","0.08498487507451463","489559191","0.15132119435916694","1322411335","0.40875315247896227","23065211","0.007129383618632124","0","0.0","0","0.0","50139378","0.015497922831124498"
"2016-01-18 - 2016-01-24","38495509","0.011598341481815478","22157235","0.006675770356039032","254627152","0.07671681025020696","92889029","0.027986606911893558","309627005","0.0932877582156866","379462156","0.11432844451320114","283405548","0.08538747529082019","506036139","0.1524640170951225","1356622283","0.4087377699064614","24296797","0.007320400634794822","0","0.0","0","0.0","51434053","0.015496605343958324"
"2016-01-25 - 2016-01-31","41541140","0.01227890962717117","22068589","0.0065231288773053364","253215756","0.07484660710081202","137938247","0.040772382968869286","315615548","0.09329100719966049","386277589","0.1141775985524848","287320279","0.08492736934746149","522014142","0.15429919529707894","1339186211","0.3958424457976546","25373021","0.007499867163667542","0","0.0","0","0.0","52578865","0.015541488067834279"
"2016-02-01 - 2016-02-07","42013255","0.012371666536920976","23037941","0.006783995283137662","256599059","0.07556086743661522","157523646","0.046386075537160495","316581643","0.09322397226557579","385301457","0.11345993406589888","286467144","0.0843561390173678","527559355","0.15535069630984588","1322166486","0.38933909955523793","25973239","0.007648354115665421","0","0.0","0","0.0","52702043","0.015519199876573962"
"2016-02-08 - 2016-02-14","40158437","0.011935141972539915","23508299","0.006986698364229617","251924419","0.0748722791953938","160262520","0.04763023842479272","313564079","0.0931916697941636","377761516","0.11227123518830946","290896890","0.08645495046334416","518273632","0.15403162674244286","1310474670","0.3894748502753579","25522660","0.007585369186974723","0","0.0","0","0.0","52375065","0.015565940392451188"
"2016-02-15 - 2016-02-21","40986395","0.01195357349128481","23568211","0.006873606284392835","253121145","0.07382211118971695","157062544","0.04580687475519996","324961895","0.0947742755553319","385000835","0.11228447330824087","287667317","0.08389741070909564","529324701","0.15437614638115546","1348722136","0.39335123696530583","26300454","0.007670457715130973","0","0.0","0","0.0","52082879","0.015189833645144792"
"2016-02-22 - 2016-02-28","40319245","0.012414317444483574","23339665","0.007186295535987906","209626257","0.06454403843863883","156983235","0.048335223359265884","281871242","0.08678830857717823","367554270","0.11317015945748549","289488145","0.08913355714980999","527103200","0.1622953617014186","1273572378","0.39213362722982104","26430703","0.00813802781582007","0","0.0","0","0.0","51513658","0.015861083290090394"
"2016-02-29 - 2016-03-06","39019924","0.011810099668234222","23737071","0.007184462336265755","229136458","0.06935237512523512","152676267","0.04621028811444993","303973082","0.09200305963897659","367740182","0.11130334855174481","285246403","0.08633508485140323","521856390","0.15794946136760568","1303272699","0.394459519451617","26720167","0.008087351359829993","0","0.0","0","0.0","50566717","0.015304949534637582"
"2016-03-07 - 2016-03-13","39454035","0.012430416196152904","22087544","0.0069589172481557314","202293772","0.06373481900773047","152016744","0.04789450297552658","274624274","0.08652331816977232","357530069","0.1126436766305212","284379361","0.08959676278550505","517357700","0.16299908319350392","1247001330","0.39288112176755086","27408274","0.00863527020843867","0","0.0","0","0.0","49838369","0.015702111817142275"
"2016-03-14 - 2016-03-20","39780079","0.011598831741978576","22658534","0.00660663653749659","234270788","0.06830724122173648","158470282","0.04620579403630385","314227730","0.09162059655371407","379178568","0.110558564008794","296144879","0.08634810963471452","545366477","0.15901461644755982","1358007354","0.39595946512362473","29321377","0.008549347482847396","0","0.0","0","0.0","52236495","0.015230797211229902"
"2016-03-21 - 2016-03-27","39246566","0.011570413840738281","21951192","0.0064715057041551975","233581679","0.06886301062988508","152648550","0.045002839119443715","312814228","0.09222182835642385","371986784","0.10966669119956435","289501155","0.08534882187454867","543310371","0.16017518160531677","1327056580","0.3912340718083413","30154954","0.00889008473068513","18871366","0.00556353170771776","0","0.0","50852570","0.01499201942317991"
"2016-03-28 - 2016-04-03","38921956","0.011574301571947278","21762279","0.006471493365823013","229365115","0.06820677283264921","150979780","0.04489716562513595","307796236","0.0915299955165217","366463592","0.10897602702564706","287652339","0.08553976371233787","541444888","0.16101057249798076","1306646710","0.38856020158731847","30587478","0.00909586082203327","30445116","0.009053526343252565","0","0.0","50725411","0.015084319099352862"
"2016-04-04 - 2016-04-10","37486722","0.011348682072185175","23308003","0.007056234892571782","223354712","0.06761811864511606","149614524","0.045294108838252606","300221749","0.09088874670226907","356729319","0.1079957758685362","287346930","0.08699104053399088","528931789","0.16012813046798627","1285035169","0.38902989662733767","30310415","0.009176136107899554","30957111","0.009371916024355142","0","0.0","49882002","0.015101213219499558"
"2016-04-11 - 2016-04-17","36384195","0.011148436045585342","21952507","0.0067264404318898505","222391916","0.06814283104466616","145149358","0.0444750346880224","297548073","0.09117133585964067","348233609","0.10670182805638195","286857261","0.0878955774195439","523510227","0.16040811910004782","1267094578","0.38824887747388526","30878685","0.009461499557548969","31157428","0.009546908854323423","0","0.0","52456436","0.016073111468464275"
"2016-04-18 - 2016-04-24","36454769","0.011160398207368163","22710634","0.006952717735827497","217598809","0.06661650655059828","144713179","0.044303029419666545","296474847","0.09076390940753322","347650155","0.10643090802888543","285088273","0.0872779814056944","528765677","0.1618782857658106","1269749236","0.3887257411303715","31515105","0.009648151147165942","31782988","0.009730161842473993","0","0.0","53936138","0.016512209358604407"
"2016-04-25 - 2016-05-01","33878570","0.01108917969604783","20244529","0.006626466817898497","203332853","0.06655518650955687","135733895","0.04442860346524331","278181595","0.09105477873145769","324196252","0.10611635896123142","268424538","0.08786108553904783","492672619","0.16126227297709167","1187455008","0.3886793912695818","29700093","0.009721474910727706","30292421","0.009915356518806222","0","0.0","50989170","0.016689844603309148"
"2016-05-02 - 2016-05-08","32228629","0.011645464882217444","19630312","0.0070931999317430374","162618228","0.0587603296243979","127844298","0.04619514788391221","232503551","0.08401263169343481","296333292","0.10707681500872679","252033006","0.09106938804417335","461135812","0.16662641481208604","1077897958","0.38948671432790066","28006814","0.010119957907604317","28524821","0.010307134108219086","0","0.0","48726529","0.01760680177558437"
"2016-05-09 - 2016-05-15","33914137","0.011214006822413622","20409108","0.006748450545899971","187347870","0.06194821623633415","132058003","0.04366613682654872","262951559","0.08694723904047147","315717649","0.10439480945195183","273531988","0.09044575067855512","499056062","0.16501726356872579","1185435010","0.39197448219507874","31027069","0.010259372468935248","30643652","0.010132592275359058","0","0.0","52173665","0.017251679889726305"
"2016-05-16 - 2016-05-22","34328602","0.010879578815610252","20478567","0.0064901618687313615","206764721","0.06552882865451858","135847540","0.0430534286929822","283686370","0.08990719229782124","321705110","0.10195626666153097","281749085","0.0892932190038957","517051346","0.1638662964056726","1235682748","0.39161827353050555","32991694","0.010455879768523513","31628368","0.010023808207078317","0","0.0","53410387","0.01692706609312972"
"2016-05-23 - 2016-05-29","33193365","0.011011002061131566","20085114","0.006662693934527651","194713359","0.06459089632156458","126627955","0.04200540299249187","272112539","0.09026598321046218","306263402","0.10159460936458732","266119857","0.08827807285989345","499620431","0.16573557985231208","1182218002","0.3921688824477073","33178854","0.01100618842892196","29836753","0.009897536714957142","0","0.0","50593877","0.016783151811442944"
"2016-05-30 - 2016-06-05","32891883","0.011017162056629082","20116144","0.006737918239660733","189699787","0.06354009271792128","123515043","0.04137146070848268","268803317","0.09003588224938168","300514946","0.10065771730129094","262830454","0.08803526709417625","497568645","0.16666100862216815","1174125769","0.3932743489309275","35044452","0.01173816673462444","29875601","0.010006856030595448","0","0.0","50527182","0.016924119314141787"
"2016-06-06 - 2016-06-12","32659512","0.01090064155800027","19974519","0.006666819513790226","189636130","0.06329413248968148","124029395","0.041396821163483116","268873951","0.08974103973550886","295439843","0.0986078368376991","265456411","0.08860038036037404","506332212","0.16899658366853135","1175521466","0.39234934510353375","36488229","0.012178537922282205","30732265","0.010257391630054888","0","0.0","50965225","0.017010470017060707"
"2016-06-13 - 2016-06-19","30472687","0.010916801078093058","20405009","0.007310068332657982","165282208","0.059212139267009876","119028623","0.04264185169789367","241153576","0.08639295965146744","269291575","0.09647336174461339","257234547","0.09215394691030626","479685142","0.17184658757958635","1094888588","0.39224243394979214","34611264","0.012399440986262993","30302530","0.01085584255083732","0","0.0","49001058","0.01755456625147958"
"2016-06-20 - 2016-06-26","30195327","0.010811615486323428","22065004","0.00790050523222313","175215313","0.06273687950032157","116973957","0.04188321739313274","250543192","0.08970847226195308","265745771","0.0951518456206339","250170036","0.08957486154833458","473680463","0.16960409235971022","1095023473","0.3920796333344713","34662755","0.012411204513752567","30161430","0.010799478464918098","0","0.0","48423147","0.017338194284225363"
